url	host	occurrences	source_count	classification	verification
http://{node}/chain	invalid-template	1	1	external-reference	UNVERIFIED
http://{self.config[	invalid-template	1	1	external-reference	UNVERIFIED
http://127.0.0.1	127.0.0.1	1	1	external-reference	UNVERIFIED
http://127.0.0.1:5000	127.0.0.1	1	1	external-reference	UNVERIFIED
http://127.0.0.1:8545	127.0.0.1	1	1	external-reference	UNVERIFIED
http://127.0.0.1:PORT`	invalid-template	1	1	external-reference	UNVERIFIED
http://aetherium-api:8000	aetherium-api	5	1	external-reference	UNVERIFIED
http://ai-service:4005	ai-service	3	1	external-reference	UNVERIFIED
http://api.openweathermap.org/data/2.5/weather	api.openweathermap.org	3	3	external-reference	UNVERIFIED
http://api.openweathermap.org/data/2.5/weather?q={city}&appid={api_key}	api.openweathermap.org	1	1	external-reference	UNVERIFIED
http://auth-service:4001	auth-service	1	1	external-reference	UNVERIFIED
http://automation:8000	automation	1	1	external-reference	UNVERIFIED
http://backend:5000	backend	2	1	external-reference	UNVERIFIED
http://backend:8000	backend	6	3	external-reference	UNVERIFIED
http://bitcoin-node:8332	bitcoin-node	1	1	external-reference	UNVERIFIED
http://blockchain:8545	blockchain	1	1	external-reference	UNVERIFIED
http://chainlink-node:6688	chainlink-node	1	1	external-reference	UNVERIFIED
http://elasticsearch:9200	elasticsearch	1	1	external-reference	UNVERIFIED
http://ethereum-node:8545	ethereum-node	2	1	external-reference	UNVERIFIED
http://example.com	example.com	1	1	external-reference	UNVERIFIED
http://genome-service:4002	genome-service	1	1	external-reference	UNVERIFIED
http://graph-node:8000	graph-node	1	1	external-reference	UNVERIFIED
http://ipfs-node:5001	ipfs-node	1	1	external-reference	UNVERIFIED
http://ipfs-node:8080	ipfs-node	1	1	external-reference	UNVERIFIED
http://juhanurmihxlp77nkq76byazcldy2hlmovfu2epvl5ankdibsot4csyd.onion/search?q={query}	juhanurmihxlp77nkq76byazcldy2hlmovfu2epvl5ankdibsot4csyd.onion	1	1	external-reference	UNVERIFIED
http://localhost:11434	localhost	1	1	external-reference	UNVERIFIED
http://localhost:11434/api/generate	localhost	3	2	external-reference	UNVERIFIED
http://localhost:19530	localhost	4	1	external-reference	UNVERIFIED
http://localhost:3000	localhost	20	4	external-reference	UNVERIFIED
http://localhost:3000,https://your-domain.com	invalid-template	2	2	external-reference	UNVERIFIED
http://localhost:3000/api/health	localhost	1	1	external-reference	UNVERIFIED
http://localhost:3000/cancel	localhost	1	1	external-reference	UNVERIFIED
http://localhost:3000/success	localhost	1	1	external-reference	UNVERIFIED
http://localhost:3000#	localhost	1	1	external-reference	UNVERIFIED
http://localhost:3000`	invalid-template	1	1	external-reference	UNVERIFIED
http://localhost:3001	localhost	2	2	external-reference	UNVERIFIED
http://localhost:4000	localhost	14	2	external-reference	UNVERIFIED
http://localhost:4000/api/docs	localhost	6	1	external-reference	UNVERIFIED
http://localhost:4000/health	localhost	1	1	external-reference	UNVERIFIED
http://localhost:4001/health	localhost	1	1	external-reference	UNVERIFIED
http://localhost:4002/health	localhost	1	1	external-reference	UNVERIFIED
http://localhost:4003/health	localhost	1	1	external-reference	UNVERIFIED
http://localhost:4004/health	localhost	1	1	external-reference	UNVERIFIED
http://localhost:4005/health	localhost	1	1	external-reference	UNVERIFIED
http://localhost:4200/anchor/cv	localhost	2	1	external-reference	UNVERIFIED
http://localhost:5000	localhost	14	13	external-reference	UNVERIFIED
http://localhost:5000**	invalid-template	1	1	external-reference	UNVERIFIED
http://localhost:5000/api	localhost	1	1	external-reference	UNVERIFIED
http://localhost:5000/mine	localhost	1	1	external-reference	UNVERIFIED
http://localhost:5000`	invalid-template	6	5	external-reference	UNVERIFIED
http://localhost:54321	localhost	1	1	external-reference	UNVERIFIED
http://localhost:54321`	invalid-template	1	1	external-reference	UNVERIFIED
http://localhost:54323`	invalid-template	1	1	external-reference	UNVERIFIED
http://localhost:5434	localhost	1	1	external-reference	UNVERIFIED
http://localhost:5434/excel/query	localhost	1	1	external-reference	UNVERIFIED
http://localhost:5434/excel/sync	localhost	1	1	external-reference	UNVERIFIED
http://localhost:5434`	invalid-template	1	1	external-reference	UNVERIFIED
http://localhost:7860	localhost	4	2	external-reference	UNVERIFIED
http://localhost:7860**	invalid-template	2	2	external-reference	UNVERIFIED
http://localhost:7860`	invalid-template	5	1	external-reference	UNVERIFIED
http://localhost:7880	localhost	1	1	external-reference	UNVERIFIED
http://localhost:8000	localhost	12	4	external-reference	UNVERIFIED
http://localhost:8000/api	localhost	1	1	external-reference	UNVERIFIED
http://localhost:8000/api/agents	localhost	5	1	external-reference	UNVERIFIED
http://localhost:8000/api/generate	localhost	2	2	external-reference	UNVERIFIED
http://localhost:8000/docs	localhost	1	1	external-reference	UNVERIFIED
http://localhost:8000/health	localhost	1	1	external-reference	UNVERIFIED
http://localhost:8000/process	localhost	1	1	external-reference	UNVERIFIED
http://localhost:8001	localhost	5	1	external-reference	UNVERIFIED
http://localhost:8003/health	localhost	1	1	external-reference	UNVERIFIED
http://localhost:8025	localhost	4	1	external-reference	UNVERIFIED
http://localhost:8050	localhost	1	1	external-reference	UNVERIFIED
http://localhost:8080	localhost	11	4	external-reference	UNVERIFIED
http://localhost:8080/token	localhost	1	1	external-reference	UNVERIFIED
http://localhost:8081	localhost	4	1	external-reference	UNVERIFIED
http://localhost:8501	localhost	2	2	external-reference	UNVERIFIED
http://localhost:8545	localhost	7	5	external-reference	UNVERIFIED
http://localhost:9000	localhost	3	2	external-reference	UNVERIFIED
http://localhost:9000/minio/health/live	localhost	2	2	external-reference	UNVERIFIED
http://localhost:9000`	invalid-template	1	1	external-reference	UNVERIFIED
http://localhost:9001	localhost	4	1	external-reference	UNVERIFIED
http://localhost:9001`	invalid-template	1	1	external-reference	UNVERIFIED
http://localhost:9090	localhost	4	4	external-reference	UNVERIFIED
http://localhost:9090`	invalid-template	1	1	external-reference	UNVERIFIED
http://localhost:9200	localhost	6	2	external-reference	UNVERIFIED
http://localhost:9200/_cluster/health	localhost	1	1	external-reference	UNVERIFIED
http://minio:9000	minio	1	1	external-reference	UNVERIFIED
http://ml-service:5000	ml-service	2	2	external-reference	UNVERIFIED
http://mlflow:5000	mlflow	1	1	external-reference	UNVERIFIED
http://nad-service:4004	nad-service	1	1	external-reference	UNVERIFIED
http://overpass-api.de/api/interpreter	overpass-api.de	1	1	external-reference	UNVERIFIED
http://resonance-service:4003	resonance-service	1	1	external-reference	UNVERIFIED
http://vault:8200	vault	1	1	external-reference	UNVERIFIED
http://www.tickeron.co...​	invalid-template	1	1	external-reference	UNVERIFIED
http://www.w3.org/2000/svg	www.w3.org	9	1	documentation	UNVERIFIED
http://your-domain:3000`	invalid-template	1	1	external-reference	UNVERIFIED
http://your-domain:9090`	invalid-template	1	1	external-reference	UNVERIFIED
https://	invalid-template	2	2	external-reference	UNVERIFIED
https://...`	invalid-template	1	1	external-reference	UNVERIFIED
https://*	invalid-template	1	1	external-reference	UNVERIFIED
https://admin.omnigenome-x.com	admin.omnigenome-x.com	1	1	external-reference	UNVERIFIED
https://ai-signals.com/​	ai-signals.com	1	1	external-reference	UNVERIFIED
https://ai.studio/apps/drive/1moQE3bpXqCd24ppy9gQM_-8WPsgUOJuJ	ai.studio	1	1	external-reference	UNVERIFIED
https://aiplatform.com	aiplatform.com	1	1	external-reference	UNVERIFIED
https://amzn.to/3QQ4s44​	amzn.to	1	1	external-reference	UNVERIFIED
https://api-inference.huggingface.co	api-inference.huggingface.co	5	1	external-reference	UNVERIFIED
https://api.aiplatform.com	api.aiplatform.com	1	1	external-reference	UNVERIFIED
https://api.anthropic.com/v1/messages	api.anthropic.com	1	1	external-reference	UNVERIFIED
https://api.bing.microsoft.com/v7.0/search	api.bing.microsoft.com	1	1	external-reference	UNVERIFIED
https://api.clickbank.com/products?keywords=water	api.clickbank.com	1	1	external-reference	UNVERIFIED
https://api.clickbank.com/products?keywords=water+bottle	api.clickbank.com	1	1	external-reference	UNVERIFIED
https://api.clickbank.com/rest/v1/marketplace/products?keywords=water+bottle	api.clickbank.com	1	1	external-reference	UNVERIFIED
https://api.crm.com	api.crm.com	1	1	external-reference	UNVERIFIED
https://api.deepseek.com/v1/search	api.deepseek.com	1	1	external-reference	UNVERIFIED
https://api.githubcopilot.com/v1/engines/codegen/completions	api.githubcopilot.com	1	1	external-reference	UNVERIFIED
https://api.mainnet-beta.solana.com	api.mainnet-beta.solana.com	1	1	external-reference	UNVERIFIED
https://api.omega/reality	api.omega	1	1	external-reference	UNVERIFIED
https://api.omniai.demo/tutor	api.omniai.demo	1	1	external-reference	UNVERIFIED
https://api.omnigenomex.com	api.omnigenomex.com	2	1	external-reference	UNVERIFIED
https://api.omniverse/users	api.omniverse	2	1	external-reference	UNVERIFIED
https://api.openai.com/v1/chat/completions	api.openai.com	1	1	external-reference	UNVERIFIED
https://api.stripe.com/coupons	api.stripe.com	1	1	external-reference	UNVERIFIED
https://api.weather.onion/city/{city}	api.weather.onion	1	1	external-reference	UNVERIFIED
https://api.yourdomain.com	api.yourdomain.com	2	1	external-reference	UNVERIFIED
https://api.yourplatform.com/docs	api.yourplatform.com	1	1	external-reference	UNVERIFIED
https://app.cybrary.it/browse/refined?resultsView=grid&view=course	app.cybrary.it	1	1	external-reference	UNVERIFIED
https://app.morphlin.c...​	invalid-template	1	1	external-reference	UNVERIFIED
https://app.zignaly.co...​	invalid-template	1	1	external-reference	UNVERIFIED
https://appinnovations.com	appinnovations.com	1	1	external-reference	UNVERIFIED
