path	bytes	lines	extension	media_class	category	role	hash_mode	sha256	audited_at
.gitattributes	328	6	.gitattributes	text	ROOT	PROJECT_CONFIGURATION	CANONICAL_LF_SHA256	08FB85A61CC03CCE179B0CD142EEF482440A3486932C04DBF5E5FD0EB2B4FBA3	2026-09-06
.github/workflows/ci.yml	1076	40	.yml	text	.github	CI_CONFIGURATION	CANONICAL_LF_SHA256	B02CCB6DF470C1CFAD3D1FBAE20E6C8A33F01D0D706CBD383050120FDBE1A045	2026-09-06
.gitignore	50	4	.gitignore	text	ROOT	PROJECT_CONFIGURATION	CANONICAL_LF_SHA256	270298662B9452A12B61A5A09C4A361EE0789E9016A9E49A1F24831C710D140C	2026-09-06
AI_ENGINE_README.md	6029	212	.md	text	ROOT	PROJECT_CONFIGURATION	CANONICAL_LF_SHA256	B07D214AA8B52E2BBFE0CDE8C0E789D6F6EC8F484095E3B702E94400E66FF2DD	2026-09-06
aiTools.config.ts	5264	0	.ts	binary	ROOT	PROJECT_CONFIGURATION	RAW_SHA256	F50A7796129654D53699457E8609C8A0224B9C28A0FDFF300D4A5F32764CF5CE	2026-09-06
assets/brand/genesis-system-mark.svg	942	0	.svg	image	assets	GOVERNED_ASSET	CANONICAL_LF_SHA256	EC4FD0E0AA466624EEF12515FE6ECE234C5C297D4EB224FB285F8DB48C22FD0E	2026-09-06
assets/concepts/genesis-companion-orb-concept-v1.png	2334836	0	.png	image	assets	GOVERNED_ASSET	RAW_SHA256	6FE324E619683BBF74296B0C9372B56FF20B35FF6ECD0B02AACA9D581045482D	2026-09-06
assets/concepts/genesis-control-center-concept-v1.png	1416078	0	.png	image	assets	GOVERNED_ASSET	RAW_SHA256	D19F4B4784695BD3D23F1E0505D93F49E26118BD3373AA1ADE5CD51C59C2930C	2026-09-06
assets/concepts/genesis-ecosystem-concept-v1.png	2303448	0	.png	image	assets	GOVERNED_ASSET	RAW_SHA256	D476AF1514C3446230788FD2DA3BBBBEEB8FF70CFF94ED8617E45DAADD340FF6	2026-09-06
assets/concepts/genesis-exploration-suit-concept-v1.png	2608209	0	.png	image	assets	GOVERNED_ASSET	RAW_SHA256	02AFC359DECA0601434E877E7E0CA096D7C38FBF2F481C7D277948D2A0B8A6B7	2026-09-06
assets/concepts/PROMPTS.md	8793	72	.md	text	assets	GOVERNED_ASSET	CANONICAL_LF_SHA256	0C2E874D6909426F1316646966F1A27EE4BEEA5BD98AD9FB4C27A109531F14D2	2026-09-06
assets/design/tokens.json	1663	73	.json	text	assets	GOVERNED_ASSET	CANONICAL_LF_SHA256	8A50722CA5E066BBFF3F3D8245BD8F9F4A1B3A9D61BE6D8B7CC25EC7CFEE5837	2026-09-06
assets/diagrams/genesis-system-map.svg	4267	0	.svg	image	assets	GOVERNED_ASSET	CANONICAL_LF_SHA256	DD49EC4AC9CF3908CB487F184EC0FB89AC5C91F01F54D386C7ECB516BCFE485D	2026-09-06
assets/README.md	1405	27	.md	text	assets	GOVERNED_ASSET	CANONICAL_LF_SHA256	8849A13F376BE47EFF63C221BF141466301A8D16AADA86DD5E32DA50EB332786	2026-09-06
avatar.config.ts	1267	0	.ts	binary	ROOT	PROJECT_CONFIGURATION	RAW_SHA256	01CCD04544037AFDA869936C1E35408A998204BD0506263C59DA7A102AB965DD	2026-09-06
benchmarks/affect_benchmark.cpp	1247	7	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	C9264E58603DBF79B26CF5A75F31F1CAFE412257CEDE2DCA5FA26CA681FF04CB	2026-09-06
benchmarks/capability_benchmark.cpp	1341	7	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	8C288988976CA1586338C2475A0C689E59554A63F093F9046AD8FC6C0702893F	2026-09-06
benchmarks/continuity_benchmark.cpp	1477	6	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	4B72965D7FA59F061E4BC2A10A6121431944CAF2FFDDC3D1B10EBDA35EA802B0	2026-09-06
benchmarks/core_benchmark.cpp	480	4	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	929C237A5CC205A197BAD8852F37162A667D5DD1ED2F19D8679FE05F680CF579	2026-09-06
benchmarks/crypto_provider_benchmark.cpp	12437	262	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	24A19AA3EDA1F3960CEE1A0FE8DD3704810C5A26E6B3818051462E209501501E	2026-09-06
benchmarks/genetics_benchmark.cpp	2737	65	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	8BE664F3C681A00D17E37310EAFA45C768B8A04F7A332B500D6514F4ED2CE439	2026-09-06
benchmarks/identity_benchmark.cpp	4066	90	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	65CD909C108E6AEA6C0C8E3A6463C0B853487B5770360D2F929AD41A3DE5520A	2026-09-06
benchmarks/key_custody_benchmark.cpp	14629	290	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	49D249EC9B7FEB7994F2C7963E201D125AD56CEB90568ED40252612F93B7F24F	2026-09-06
benchmarks/learning_benchmark.cpp	2536	8	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	5AD4E0D7E131A9ED2B2E2DC25CB33F62CE64B0E7B0675837EA49AFF0C84BD072	2026-09-06
benchmarks/life_record_benchmark.cpp	7645	161	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	D5917A991C7CED63AC2F65D88B87829A9C3A428F5AA5257C477A7D22AAF68D70	2026-09-06
benchmarks/memory_benchmark.cpp	2760	7	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	5542E97808C0EC7A986BDD256CCF569E5467616B240F26E6E065BB2D41CD0018	2026-09-06
benchmarks/organism_benchmark.cpp	885	15	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	C4712D5C284E5BC4F4FB22700DF86A01926501ED730F486C710FDD4498616F4B	2026-09-06
benchmarks/perception_benchmark.cpp	1667	7	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	79D0FEB450AC57A12EB16FA438438F32E09FDDA752029D11B6901D27A85E7E7F	2026-09-06
benchmarks/runtime_benchmark.cpp	1413	28	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	D5410C24C6ABD1C80EAD17AA7A62FBDB4B80A5121A490DF813E16B1EF2A71933	2026-09-06
benchmarks/world_model_benchmark.cpp	3165	26	.cpp	text	benchmarks	BENCHMARK_EVIDENCE	CANONICAL_LF_SHA256	564D3EE1601B2A4337047F2DE19A4533F3EE38F04CBBE87CFBDFBE3D42A7A7F4	2026-09-06
capabilities.config.ts	11480	0	.ts	binary	ROOT	PROJECT_CONFIGURATION	RAW_SHA256	9BE5201F9D1C2FFBA0BFEDCE7D0406CEACF06554CEAE1DA771EAAF616E663FEC	2026-09-06
CMakeLists.txt	12483	211	.txt	text	ROOT	PROJECT_CONFIGURATION	CANONICAL_LF_SHA256	9C332A9CFD5D33234EE1148BFED32CC8E835FC2FEB368317EBD451B502E5F17D	2026-09-06
CMakePresets.json	785	36	.json	text	ROOT	PROJECT_CONFIGURATION	CANONICAL_LF_SHA256	1000E7F7B4AE4138EA7610A3F03FF2094D378197C5816DA7710DCADA7E4296EC	2026-09-06
components/AgentIcon.tsx	1322	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	5B426AF3EC40E3B9A905A33ACD02A41D8FF653FB30B04D871ADD16A20DF5A0CD	2026-09-06
components/AIToolsHubModal.tsx	9556	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	B02B407CD35AB41E25642FE024A64358D877C74093E0FE09BAE813FDD9391D3B	2026-09-06
components/AudioPlayer.tsx	5477	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	6C722CA6D4186306DA6ED8A1D286DF4522C01AFC6F1E640D09A4DF3E43D8C012	2026-09-06
components/AudioProductionHubPage.tsx	3654	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	F9A7324D37708891C14912BFCC1D898705E1A1248E5A33B1F44ABE0CA13A3F54	2026-09-06
components/Avatar.tsx	925	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	74BB316B4E5229DE6C46A0765331E06F2034D9A0D2F0E39D5A029F6831F9CFC9	2026-09-06
components/AvatarForgeModal.tsx	12544	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	1DACE0DFEAFFAB355D39BC488DC96D7D5DBF92D84DAFA1BFDA8EEE883F58C1E1	2026-09-06
components/BioCommsHubModal.tsx	10513	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	E391895281C49AA32C8F34932FC5289E14D4604A6EA06B1052EEBC0B256E3A3F	2026-09-06
components/BiometricScanModal.tsx	9204	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	0A2B5DBDE974F304EFCE6D2871174122B1D9948B4A885B9FDEBFD7E84735F71D	2026-09-06
components/BioSignalVisualizer.tsx	3913	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	D9DA6CBF4CBB05CE7E9CA69D505859AD67B85E964E6B975E02164B673BE9EEC6	2026-09-06
components/BlockchainForkTimer.tsx	2019	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	3B3938207BB4E87C20E295A08FA62A51F8AF27665323DBF4760D62DFFB38161B	2026-09-06
components/BootSequence.tsx	2597	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	2D48B0AA022A486FBADD4270DFD6FB2F1019BC6CDC87ED912AFC19CA60769C6C	2026-09-06
components/BusinessHubModal.tsx	7725	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	6BF2B4DF9C01CB4B9E043B753E0C3420FBFA8ADDE5350BA3EF4F1202EE913448	2026-09-06
components/CapabilitiesHubModal.tsx	3318	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	E9D1F6C6EAB795A36F6A796F2EF622D9AE24C9AC25CA4A7C6F65AA5A468EBCB9	2026-09-06
components/Chat.tsx	3027	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	9E4BAC22BCE7FB1948318EE471FC16C9BD8250A99B4ECB44ABFCA63620B0F570	2026-09-06
components/CodonHubModal.tsx	8972	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	AA4EBFCDAF2DF4FF90D98C2670FB2634882CE68052D5D196EA99D405DAD9E529	2026-09-06
components/CognitiveNexus.tsx	6300	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	54A0B67A818A296E3A1DADA165B2D2AC65B621302FD78B0592363A1BAECE72D4	2026-09-06
components/CommerceHubModal.tsx	4376	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	1126A5915AE63487BAD11AC28F3330512A6B40F352997B238923222ED01009D3	2026-09-06
components/CommsHubModal.tsx	3735	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	1C310FFC638112E3B54DF5FB4B3031E23ECBC39B1FB0C1C477DB50A0B67C5E2B	2026-09-06
components/ConnectWalletModal.tsx	8294	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	31D875789A5F57BC8D68D752B8D61F5E82B20A3D69C9EB0DF128470834FE9679	2026-09-06
components/ContentView.tsx	6807	0	.tsx	binary	components	PROJECT_CONFIGURATION	RAW_SHA256	DCAED90CE98B4131738F071D3693B2F91F032387FA755822B4EC28B6207EE598	2026-09-06
